Unnamed: 0,JB_review,ACT_ID,ACT_cnt,Rep_ID,Rep_cnt,ACT_text,ACT_text_normalised,rep_text,Rep_text_normalised,ACT_text_notes,reply category,JB reply category,reply support,JB reply support,reply abusive,JB reply abusive,rep_text_notes
149,Priority,1475208320214618116,ACT_2708,1475208433733406730,reply_1,@FerranTorres20 You’re so ass,[PLAYER1] You’re so ass,@MoSakoooo @FerranTorres20 Cry,[USER1] [PLAYER1] Cry,,agrees_with_the_post,disagrees_with_post,no,no,no,no,
157,Priority,1469735520800591882,ACT_2844,1469888860628955136,reply_1,@ToniRuediger Eder Militao would’ve falcon punch them Leeds YTs to the shadow realm …. Chelsea players big pussy,[PLAYER1] Eder Militao would’ve falcon punch them Leeds YTs to the shadow realm …. Chelsea players big pussy,@MJumpman49 @ToniRuediger Shadow realm. If anyone landed a punch on one of those leeds players your boys would of been astral projected and wouldn't of come back.,[USER1] [PLAYER1] Shadow realm. If anyone landed a punch on one of those leeds players your boys would of been astral projected and wouldn't of come back.,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
562,Priority,1487818430371749889,ACT_59,1487819700084084747,reply_1,.@ManUtd I hope you take appropriate action against @masongreenwood . Absolutely horrifying behaviour. Sick to my stomach.,.[CLUB] I hope you take appropriate action against [PLAYER1] . Absolutely horrifying behaviour. Sick to my stomach.,@bethphill_ @ManUtd @masongreenwood They have.,[USER1] [CLUB] [PLAYER1] They have.,,disagrees_with_the_post,disagrees_with_the_post,yes,no,no,no,
1176,Priority,1487721294103597057,ACT_276,1487725492925267968,reply_1,Good one you piece of shit 👏🏻👏🏻 @masongreenwood https://t.co/JYVdF0ImOr,Good one you piece of shit 👏🏻👏🏻 [PLAYER1] [URL],@LFCPannunz @masongreenwood She ain’t gonna shag u 😹,[USER1] [PLAYER1] She ain’t gonna shag u 😹,,,disagrees_with_the_post,,no,,no,
1380,Priority,1456541905425211412,ACT_399,1456542339439030276,reply_1,"@masongreenwood I have citizenship that I'm not using
 Come and take it and play for Nigeria. If you no start every match, call me bastard","[PLAYER1] I have citizenship that I'm not using Come and take it and play for Nigeria. If you no start every match, call me bastard",@demonohu @masongreenwood He wouldn't start lmfao,[USER1] [PLAYER1] He wouldn't start lmfao,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
1454,Priority,1490826378605830144,ACT_426,1490827895526203393,reply_1,Not even sharing the video of that disgrace @KurtZouma booting about a cat. Actually disgusting. Prick.,Not even sharing the video of that disgrace [PLAYER1] booting about a cat. Actually disgusting. Prick.,"@RussellBoyce1 @KurtZouma I did just to share the comments on the video.
 Scary the amount of people making excuses for him or saying it's not bad.",[USER1] [PLAYER1] I did just to share the comments on the video. Scary the amount of people making excuses for him or saying it's not bad.,,,agrees_with_post,no,no,no,no,
1617,Priority,1452328527274119174,ACT_572,1452329308769357830,reply_1,Why can't we get another player in the world to be compared to Messi for sure @Cristiano is just rubbish 🚮🚮🚮 doing that rubbish to a young star @LFC . @premierleague @FIFAWorldCup,Why can't we get another player in the world to be compared to Messi for sure [PLAYER1] is just rubbish 🚮🚮🚮 doing that rubbish to a young star [CLUB] . [BODY] [USER1],@kabilahg @Cristiano @LFC @premierleague @FIFAWorldCup Control your words🛑,[USER1] [PLAYER1] [CLUB] [BODY] [USER2] Control your words🛑,,,disagrees_with_the_post,,no,,no,
1629,Priority,1495452993189302274,ACT_588,1495453176362852356,reply_1,@B_Fernandes8 @Ize18ii You’re ass,[PLAYER1] [USER1] You’re ass,@utd_JonesLUHR_ @B_Fernandes8 @Ize18ii Ratio,[USER1] [PLAYER1] [USER2] Ratio,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
1800,Priority,1491280317088669697,ACT_611,1491286848450494465,reply_1,"Just seen the @KurtZouma video then. shouldn’t be allowed to play football ever again, you fat headed little divvy hope you and your brother catch fire","Just seen the [PLAYER1] video then. shouldn’t be allowed to play football ever again, you fat headed little divvy hope you and your brother catch fire",@Gav_Parkin @KurtZouma Wait until you see what Marcos Alonso did,[USER1] [PLAYER1] Wait until you see what Marcos Alonso did,,agrees_with_post,agrees_with_post,,no,,no,
1931,Priority,1429858078619492357,ACT_670,1429858373810507776,reply_1,What an absolute snake he is #AVFC #Grealish @JackGrealish don’t show your face in B6 ever again rat,What an absolute snake he is #AVFC #Grealish [PLAYER1] don’t show your face in B6 ever again rat,@cerysssj_ @JackGrealish Shut the fuck up,[USER1] [PLAYER1] Shut the fuck up,,,disagrees_with_the_post,,no,,no,
