Unnamed: 0,ACT_ID,ACT_cnt,ACT_text,ACT_text_replaced,ACT_text_normalised,ACT_text_abuse_label,ACT_text_abuse_prob,Rep_ID,Rep_cnt,Rep_text,Rep_text_replaced,Rep_text_normalised,w_cnt_reply > 5,w_cnt_reply,emoji_cnt,has_emoji,which_category_best_describes_the_reply_gold,is_the_reply_supporting_the_football_player_gold,is_the_reply_abusive_gold,which_category_best_describes_the_reply_gold_reason,is_the_reply_supporting_the_football_player_gold_reason,is_the_reply_abusive_gold_reason,_golden,type,rounds,rep_category1,rep_category2,rep_category3,rep_category4,rep_category5,rep_category6,rep_category7,rep_abusive1,rep_abusive2,rep_abusive3,rep_abusive4,rep_abusive5,rep_abusive6,rep_abusive7,rep_support1,rep_support2,rep_support3,rep_support4,rep_support5,rep_support6,rep_support7,# of unique labels,disagree,agree,other,# of labels,start_time_second1,start_time_second2,start_time_second3,start_time_second4,start_time_second5,start_time_second6,start_time_second7,end_time_second1,end_time_second2,end_time_second3,end_time_second4,end_time_second5,end_time_second6,end_time_second7,rep_abusive_annotation,% rep_abusive_annotation,# total_rep_abusive_annotation,rep_abusive_annotation_majority_cnt,rep_category_annotation,% rep_category_annotation,rep_category_annotation_majority_cnt,rep_support_annotation,% rep_support_annotation,# total_rep_support_annotation,rep_support_annotation_majority_cnt,rep_category_matched_gold,rep_abusive_matched_gold,rep_support_matched_gold,start_time_seconds1,start_time_seconds2,start_time_seconds3,start_time_seconds4,start_time_seconds5,start_time_seconds6,start_time_seconds7,end_time_seconds1,end_time_seconds2,end_time_seconds3,end_time_seconds4,end_time_seconds5,end_time_seconds6,end_time_seconds7,time_delta_seconds1,time_delta_seconds2,time_delta_seconds3,time_delta_seconds4,time_delta_seconds5,time_delta_seconds6,time_delta_seconds7,average_time_seconds,average_time_minutes,average_time_interval_seconds,time_interval (seconds)1,time_interval (seconds)2,time_interval (seconds)3,time_interval (seconds)4,time_interval (seconds)5,time_interval (seconds)6,time_interval (seconds)7,CHECK for rep_category,CHECK for rep_abusive,CHECK for rep_support,CHECK for Time,expert_review
11.0,1463163570087239690,ACT_5,"The biggest clown in Manchester

@HarryMaguire93 🤡",The biggest clown in Manchester  [PLAYER] 🤡,The biggest clown in Manchester [PLAYER1] 🤡,abusive,0.50415325,1463165556270505985,reply_1,@Left_Winger07 @HarryMaguire93 He needs a spanking and dropping naughty boy lol,[USER] [PLAYER] He needs a spanking and dropping naughty boy lol,[USER1] [PLAYER1] He needs a spanking and dropping naughty boy lol,Y,9,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:21:14,9/20/2022 08:21:13,9/20/2022 08:22:31,N/A,N/A,N/A,N/A,9/20/2022 08:22:19,9/20/2022 08:22:20,9/20/2022 08:23:39,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:21:14,2022-09-20 08:21:13,2022-09-20 08:22:31,,,,,2022-09-20 08:22:19,2022-09-20 08:22:20,2022-09-20 08:23:39,,,,,13.0,13.4,13.6,,,,,13.33,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
44.0,1486670604296097797,ACT_28,"@JackGrealish @expo2020dubai Yes 1 question. When are u gonna get the hell out from man city? U play sucks, i never seen any highlights that came from u, u such a waste of money! I'm a city fans btw","[PLAYER] [USER] Yes 1 question. When are u gonna get the hell out from man city? U play sucks, i never seen any highlights that came from u, u such a waste of money! I'm a city fans btw","[PLAYER1] [USER1] Yes 1 question. When are u gonna get the hell out from man city? U play sucks, i never seen any highlights that came from u, u such a waste of money! I'm a city fans btw",abusive,0.59328043,1486673070144118789,reply_1,@IvanNara3 @JackGrealish @expo2020dubai Did Txiki ask for ur money? No..,[USER] [PLAYER] [USER] Did Txiki ask for ur money? No..,[USER1] [PLAYER1] [USER2] Did Txiki ask for ur money? No..,Y,7,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,agrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,yes,yes,no,no,no,N/A,N/A,no,yes,yes,no,no,N/A,N/A,2,4,1,0,5,9/20/2022 08:07:37,9/20/2022 08:07:38,9/20/2022 08:07:39,9/20/2022 08:11:58,9/20/2022 08:16:23,N/A,N/A,9/20/2022 08:08:43,9/20/2022 08:08:47,9/20/2022 08:08:48,9/20/2022 08:13:07,9/20/2022 08:17:28,N/A,N/A,no,0.6,5,3,disagrees_with_the_post,0.8,4,no,0.6,5,3,no,no,no,2022-09-20 08:07:37,2022-09-20 08:07:38,2022-09-20 08:07:39,2022-09-20 08:11:58,2022-09-20 08:16:23,,,2022-09-20 08:08:43,2022-09-20 08:08:47,2022-09-20 08:08:48,2022-09-20 08:13:07,2022-09-20 08:17:28,,,13.2,13.8,13.8,13.8,13.0,,,13.52,0.23,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,yes,yes,yes,no,"category, abusive, support"
72.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491164903591518208,reply_2,"@DaveAtherton20 @WestHam @KurtZouma Just silenced the haters with a top drawer performance 🤫 

Great call from Moyes to play him, pleased for the lad after a difficult day. COYI","[USER] [CLUB] [PLAYER] Just silenced the haters with a top drawer performance 🤫   Great call from Moyes to play him, pleased for the lad after a difficult day. COYI","[USER1] [CLUB] [PLAYER1] Just silenced the haters with a top drawer performance 🤫 Great call from Moyes to play him, pleased for the lad after a difficult day. COYI",Y,25,1,Y,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:19:35,9/20/2022 08:19:33,9/20/2022 08:19:33,N/A,N/A,N/A,N/A,9/20/2022 08:20:38,9/20/2022 08:20:38,9/20/2022 08:20:41,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:19:35,2022-09-20 08:19:33,2022-09-20 08:19:33,,,,,2022-09-20 08:20:38,2022-09-20 08:20:38,2022-09-20 08:20:41,,,,,12.6,13.0,13.6,,,,,13.07,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
73.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491164979432935429,reply_3,@DaveAtherton20 @WestHam @KurtZouma Don’t get me started again I’ve had my rant!!,[USER] [CLUB] [PLAYER] Don’t get me started again I’ve had my rant!!,[USER1] [CLUB] [PLAYER1] Don’t get me started again I’ve had my rant!!,Y,9,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,agrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,no,yes,no,no,no,N/A,N/A,no,yes,no,no,no,N/A,N/A,2,4,1,0,5,9/20/2022 08:05:38,9/20/2022 08:05:42,9/20/2022 08:05:43,9/20/2022 08:10:02,9/20/2022 08:14:20,N/A,N/A,9/20/2022 08:06:42,9/20/2022 08:06:47,9/20/2022 08:06:50,9/20/2022 08:11:06,9/20/2022 08:15:30,N/A,N/A,no,0.8,5,4,disagrees_with_the_post,0.8,4,no,0.8,5,4,no,no,no,2022-09-20 08:05:38,2022-09-20 08:05:42,2022-09-20 08:05:43,2022-09-20 08:10:02,2022-09-20 08:14:20,,,2022-09-20 08:06:42,2022-09-20 08:06:47,2022-09-20 08:06:50,2022-09-20 08:11:06,2022-09-20 08:15:30,,,12.8,13.0,13.4,12.8,14.0,,,13.2,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,yes,yes,yes,no,"category, abusive, support"
74.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491165135255535616,reply_4,"@DaveAtherton20 @WestHam @KurtZouma You could try asking @karren_brady but she'll probably just call you ""ant-vaxx"" and put you into a concentration camp. Cat beaters are okay to roam free. Even Nazis have limits. Good to know. https://t.co/KN5aZCy4Ye","[USER] [CLUB] [PLAYER] You could try asking [USER] but she'll probably just call you ""ant-vaxx"" and put you into a concentration camp. Cat beaters are okay to roam free. Even Nazis have limits. Good to know. [URL]","[USER1] [CLUB] [PLAYER1] You could try asking [USER2] but she'll probably just call you ""ant-vaxx"" and put you into a concentration camp. Cat beaters are okay to roam free. Even Nazis have limits. Good to know. [URL]",Y,33,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:22:40,9/20/2022 08:22:40,9/20/2022 08:22:40,N/A,N/A,N/A,N/A,9/20/2022 08:23:44,9/20/2022 08:23:46,9/20/2022 08:23:47,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:22:40,2022-09-20 08:22:40,2022-09-20 08:22:40,,,,,2022-09-20 08:23:44,2022-09-20 08:23:46,2022-09-20 08:23:47,,,,,12.8,13.2,13.4,,,,,13.13,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
75.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491165422221393922,reply_5,@DaveAtherton20 @WestHam @KurtZouma The Race Card has been played.,[USER] [CLUB] [PLAYER] The Race Card has been played.,[USER1] [CLUB] [PLAYER1] The Race Card has been played.,Y,6,0,N,,,,,,,FALSE,Work,R6,agrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,agrees_with_the_post,disagrees_with_the_post,N/A,N/A,yes,no,no,yes,no,N/A,N/A,no,no,no,no,no,N/A,N/A,2,3,2,0,5,9/20/2022 08:21:56,9/20/2022 08:21:56,9/20/2022 08:21:55,9/20/2022 08:26:26,9/20/2022 08:30:54,N/A,N/A,9/20/2022 08:23:06,9/20/2022 08:23:08,9/20/2022 08:23:09,9/20/2022 08:27:33,9/20/2022 08:32:01,N/A,N/A,no,0.6,5,3,disagrees_with_the_post,0.6,3,no,1.0,5,5,no,no,no,2022-09-20 08:21:56,2022-09-20 08:21:56,2022-09-20 08:21:55,2022-09-20 08:26:26,2022-09-20 08:30:54,,,2022-09-20 08:23:06,2022-09-20 08:23:08,2022-09-20 08:23:09,2022-09-20 08:27:33,2022-09-20 08:32:01,,,14.0,14.4,14.8,13.4,13.4,,,14.0,0.23,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,yes,yes,no,no,"category, abusive"
79.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491166805590568960,reply_9,"@DaveAtherton20 @WestHam @KurtZouma The same reason 36,000,are still following a convicted  pedophile  #NazirAhmed","[USER] [CLUB] [PLAYER] The same reason 36,000,are still following a convicted  pedophile  #NazirAhmed","[USER1] [CLUB] [PLAYER1] The same reason 36,000,are still following a convicted pedophile #NazirAhmed",Y,10,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,agrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,no,yes,no,yes,no,N/A,N/A,no,no,no,no,no,N/A,N/A,2,4,1,0,5,9/20/2022 08:13:13,9/20/2022 08:13:13,9/20/2022 08:13:13,9/20/2022 08:17:34,9/20/2022 08:22:01,N/A,N/A,9/20/2022 08:14:17,9/20/2022 08:14:19,9/20/2022 08:14:21,9/20/2022 08:18:44,9/20/2022 08:23:06,N/A,N/A,no,0.6,5,3,disagrees_with_the_post,0.8,4,no,1.0,5,5,no,no,no,2022-09-20 08:13:13,2022-09-20 08:13:13,2022-09-20 08:13:13,2022-09-20 08:17:34,2022-09-20 08:22:01,,,2022-09-20 08:14:17,2022-09-20 08:14:19,2022-09-20 08:14:21,2022-09-20 08:18:44,2022-09-20 08:23:06,,,12.8,13.2,13.6,14.0,13.0,,,13.32,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,yes,yes,no,no,"category, abusive"
80.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491167328494841857,reply_10,@DaveAtherton20 @WestHam @KurtZouma I’m suspended from fb for commenting on one of my friends posts for saying I’d like to kick him like he kicked his cat.,[USER] [CLUB] [PLAYER] I’m suspended from fb for commenting on one of my friends posts for saying I’d like to kick him like he kicked his cat.,[USER1] [CLUB] [PLAYER1] I’m suspended from fb for commenting on one of my friends posts for saying I’d like to kick him like he kicked his cat.,Y,24,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:13:12,9/20/2022 08:13:12,9/20/2022 08:13:11,N/A,N/A,N/A,N/A,9/20/2022 08:14:16,9/20/2022 08:14:17,9/20/2022 08:14:18,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:13:12,2022-09-20 08:13:12,2022-09-20 08:13:11,,,,,2022-09-20 08:14:16,2022-09-20 08:14:17,2022-09-20 08:14:18,,,,,12.8,13.0,13.4,,,,,13.07,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
81.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491168992383234049,reply_11,@DaveAtherton20 @WestHam @KurtZouma It’s legal in his country and thought it was here.,[USER] [CLUB] [PLAYER] It’s legal in his country and thought it was here.,[USER1] [CLUB] [PLAYER1] It’s legal in his country and thought it was here.,Y,10,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:12:54,9/20/2022 08:12:55,9/20/2022 08:12:54,N/A,N/A,N/A,N/A,9/20/2022 08:13:58,9/20/2022 08:13:59,9/20/2022 08:14:01,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:12:54,2022-09-20 08:12:55,2022-09-20 08:12:54,,,,,2022-09-20 08:13:58,2022-09-20 08:13:59,2022-09-20 08:14:01,,,,,12.8,12.8,13.4,,,,,13.0,0.22,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
82.0,1491164294272393216,ACT_52,"My I ask @WestHam why coward, cat beater @KurtZouma is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER] is playing tonight?","My I ask [CLUB] why coward, cat beater [PLAYER1] is playing tonight?",abusive,0.51904172,1491169613128007682,reply_12,@DaveAtherton20 @WestHam @KurtZouma I hope the crowd booed him!,[USER] [CLUB] [PLAYER] I hope the crowd booed him!,[USER1] [CLUB] [PLAYER1] I hope the crowd booed him!,Y,6,0,N,,,,,,,FALSE,Work,R6,disagrees_with_the_post,disagrees_with_the_post,disagrees_with_the_post,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,1,3,0,0,3,9/20/2022 08:16:04,9/20/2022 08:16:05,9/20/2022 08:16:04,N/A,N/A,N/A,N/A,9/20/2022 08:17:11,9/20/2022 08:17:12,9/20/2022 08:17:13,N/A,N/A,N/A,N/A,no,1.0,3,3,disagrees_with_the_post,1.0,3,no,1.0,3,3,no,no,no,2022-09-20 08:16:04,2022-09-20 08:16:05,2022-09-20 08:16:04,,,,,2022-09-20 08:17:11,2022-09-20 08:17:12,2022-09-20 08:17:13,,,,,13.4,13.4,13.8,,,,,13.53,0.23,10 < t <= 20,10 < t <= 20,10 < t <= 20,10 < t <= 20,,,,,no,no,no,no,
