,Unnamed: 0,ACT_cnt,Rep_cnt,ACT_text_abuse_prob,Rep_ID,rounds,abusive_speech,counter_speech,label,rep_support_final,rep_abusive_final,rep_category_notes,ACT_text_notes,rep_notes
0,6654,ACT_4650,reply_2,0.5458867,1464651614413803520,R6,[PLAYER] [CLUB] They do not exist among humans 👎🏻,[USER] [PLAYER] [CLUB] Have a day off you plastic cunt,disagrees_with_the_post,no,no,,,
1,2297,ACT_1470,reply_2,0.9862175,1483932077116506112,R5,[PLAYER] you are shite dfkm,"[USER] [PLAYER] But guy, what’s your business, are you a Chelsea fan😂😂😂",disagrees_with_the_post,no,no,,,
2,6624,ACT_4600,reply_1,0.52102858,1500086604098060288,R6,Happy birthday [PLAYER] please stop being shit xx,[USER] [PLAYER] I wish his parents just went to sleep that night instead of conceiving that waste of sperm wanker. Happy birthday [PLAYER] have a good one today I know you’re gonna shit the bed tomorrow.,disagrees_with_the_post,no,no,,,
3,1378,ACT_3735,reply_1,0.84656054,1470546273400991488,R4,"Still fumin about [PLAYER] doing the worst thing in fuckin football! Always ALWAYS rated him as a footballer but cheating. Diving to gain an advantage. You're a disgrace. I know il not get a reply to this but you wanna be fuckin ashamed of yourself, nobody likes a cheat! #dive",[USER] [PLAYER] Mate he's a decent baller. Doesn't need to do shit like that. Cheating cunt needs to get that out of his game. Wheres ya pride ya fool ..... x,disagrees_with_the_post,yes,no,,,
4,1015,ACT_2635,reply_1,0.98759657,1497620325466525696,R4,Rot in hell [PLAYER],[USER] [PLAYER] Workout please that Pot belly will take you to hell before him,agrees_with_the_post,no,no,,,
5,4664,ACT_2562,reply_1,0.96644533,1480300839344521216,R1,[PLAYER] [USER] [CLUB] YOUR OUR WORST FUCKING [PLAYER] EVER LEAVE AND DONT COME BACK,[USER] [PLAYER] [USER] [CLUB] You’re so embarrassing,disagrees_with_the_post,no,no,,,
6,452,ACT_1065,reply_1,0.84297484,1475559620252999680,R4,[PLAYER] them dead,[PLAYER] one more goal pls,disagrees_with_the_post,no,no,,,
7,4321,ACT_4383,reply_1,0.96163625,1433376835652386816,R3,[USER] [PLAYER] [CLUB] i hate you😭,[USER] [PLAYER] [CLUB] dcv plus catch this ratio again,disagrees_with_the_post,no,no,,,
8,6429,ACT_4088,reply_16,0.95167977,1490837104099831808,R6,Nothing infuriates me more than cruelty to innocent animals. [PLAYER] you are a vile human being.,[USER] [PLAYER] Just how could anyone be so cruel. Just look at my lil man. Wouldn’t even dream of shouting at him never mind hurting him [URL],disagrees_with_the_post,no,no,,,
9,2636,ACT_2896,reply_1,0.74617296,1467874087917666304,R5,Don't play [PLAYER]  He sucks😡,[USER] [PLAYER] He deserves to play cz he plays well against small teams. 🤣🤣🤣,disagrees_with_the_post,no,no,,,
10,3368,ACT_2587,reply_4,0.93839842,1433058564109750272,R5,[CLUB] [USER] [PLAYER] And he's still a rapist,[USER] [CLUB] [USER] [PLAYER] Shut your 40 year old white mom ass,disagrees_with_the_post,no,yes,,,
11,1507,ACT_4119,reply_1,0.82149762,1512735764601311232,R4,Why would [USER] #footballfocus profile a degenerate filth monger like [PLAYER] front and centre of their show today?  Someone who cannot obey Covid rules and chooses to spend time with prostitutes.  No role model to anyone.,[USER] [USER] [PLAYER] People who act this disgusted with sex workers often hire them.,agrees_with_the_post,no,no,,,
12,2242,ACT_1241,reply_1,0.84639561,1455654228706349056,R5,Nah fuck off 🤣🤣🤣🤣🤣 [PLAYER] what are you even made of ? ❤️❤️❤️❤️,[USER] [PLAYER] How does he do it? How?,disagrees_with_the_post,no,no,,,
13,2213,ACT_1101,reply_1,0.96339369,1488269939890954240,R5,[PLAYER] [USER] disgusting.,[USER] [PLAYER] [USER] cry,disagrees_with_the_post,no,no,,,
14,2478,ACT_2230,reply_1,0.85571069,1491860060540178432,R5,This bellend should never play Professional football again....What a horrible cruel prick he is 🤬🤬 Give ya head a good wobble [PLAYER] and take a fucking good look at yourself....,"[USER] [PLAYER] To think this moron of an individual earns more in a week (approx £125k), than most ppl earn in several years.",disagrees_with_the_post,no,no,,,
15,5739,ACT_2373,reply_16,0.98413414,1491077615742238720,R6,Disgrace of human being. [PLAYER] Way to be an awful parent on top of an animal abuser. Sick fuck.,[USER] [PLAYER] Would love to spend 30 minutes with him horrible cunt,disagrees_with_the_post,no,no,,,
16,2802,ACT_3712,reply_1,0.98605019,1458111534031327232,R5,[PLAYER] [CLUB] Get back to ya football ya poofter,[USER] [PLAYER] [CLUB] Shut up Gary ya cunt,disagrees_with_the_post,no,no,,,
17,4475,ACT_5354,reply_1,0.79465568,1469803709982986240,R3,Hold that you prick [PLAYER],[USER] [PLAYER] Couldn’t be happier that prick conceded,agrees_with_the_post,no,yes,,,
