id,round,timestamp,context_id,context,response,gold_label,model_label,model_conf,is_example_tricked,count_tokens,get_ne,count_pronoun,count_negation,sentiment_analysis,multiclass_sentiment_analysis,get_ne_most
bac93450-40f7-4bda-8f8d-792e09415083,1,2023-03-21T22:58:27Z,263,"most of the time, when a crime is committed, the person who committed the crime is either black, white, hispanic, or asian","Is that everyone? Because yes, everyone of every race can commit crimes",counterspeech,counterspeech,99.999,FALSE,27,NORP,0,0,NEGATIVE,neutral,NORP
aac7e947-3981-45b8-a95c-d6d0450db214,1,2023-03-21T22:59:37Z,147,most of the problems in the world today are due to the fact that too much money is being spent on helping those who are not able to help themselves,Where should we spend the money? On people who already have enough money? confusing,counterspeech,counterspeech,99.999,FALSE,30,DATE,0,1,NEGATIVE,disappointment,DATE
867d8b04-d743-44ea-990e-753b7e8159c1,1,2023-03-21T22:59:56Z,3046,"blacks are so stupid they don't know what the word 'awkward' means, but they know what the word 'abridge' means",I think a bot wrote this,counterspeech,counterspeech,99.999,FALSE,26,,0,1,NEGATIVE,annoyance,no entity
533a6184-9b23-4083-92c0-97396056512e,1,2023-03-21T23:00:30Z,1458,there is no point in trying to rehabilitate criminals because they will always go back to their old ways,Are you still making the same mistakes you have always done?,counterspeech,counterspeech,99.9985,FALSE,19,,0,0,NEGATIVE,neutral,no entity
8a81ac13-756d-43ee-bf2f-85d268dc85f7,1,2023-03-21T23:00:59Z,4339,if you have ever been to a chinese restaurant you have noticed that all the waitresses look the same and all the food tastes the same,Someone has a limited palate,counterspeech,counterspeech,99.9981,FALSE,26,NORP,0,0,NEGATIVE,neutral,NORP
98c4489b-f672-4de8-b69e-c4549d4be111,1,2023-03-21T23:01:22Z,726,"if you are a parent and you have a child with a disability, you should not love that child as much as a child without a disability",I think you should love them more,counterspeech,counterspeech,99.9967,FALSE,28,,0,1,NEGATIVE,neutral,no entity
6aa12545-40d1-48fe-9a09-898f4f467df5,1,2023-03-21T23:02:00Z,229,"women in the middle east all wear veils, and are repressed, i think this is fascinating, they dont have any rights- i want",If women have the rght to choose then they are not repressed,counterspeech,counterspeech,99.9988,FALSE,27,LOC,2,1,POSITIVE,approval,LOC
20a6e127-62de-4be7-b524-d3ea17abf1ae,1,2023-03-21T23:02:18Z,245,"asians are taking over the world, and they are taking over us",It is very hard to colonise a person,counterspeech,counterspeech,99.9989,FALSE,13,NORP,1,0,POSITIVE,neutral,NORP
27e18cb7-c4ad-4479-930b-b92a6b3041a7,1,2023-03-21T23:03:20Z,245,"asians are taking over the world, and they are taking over us",It is very hard to colonise a person,counterspeech,counterspeech,99.9989,FALSE,13,NORP,1,0,POSITIVE,neutral,NORP
877f4e62-8b0a-4b4b-ad4d-65579d52b8a3,1,2023-03-21T23:04:05Z,2250,"A picture of George Washington crossing the Delaware, text states that while Washington had God on his side, Obama has watermelon.",Sound delicious,counterspeech,counterspeech,99.9961,FALSE,24,GPE,6,0,POSITIVE,neutral,GPE
ae8683dc-04ea-4069-85ee-66e3fb1fb44d,1,2023-03-21T23:04:38Z,384,muslims like to rape white girls,That is like saying all men like to rape girls,counterspeech,counterspeech,99.9991,FALSE,6,NORP,0,0,NEGATIVE,neutral,NORP
