Rep_ID,abusive_speech,counter_speech,label
1487533604393697282,Rum and dry ginger bastard ….. no you fuck off and take [PLAYER] with you #mufc [URL],[USER] [PLAYER] Lightweight b[USER] puff,other
1487533604393697282,"I can’t watch that [PLAYER] video of him abusing his cat, I hope he gets kicked up the arse on a daily occurrence the rest of his life. PRICK.",[USER] [PLAYER] Knob!!,disagrees_with_the_post
1487533604393697282,Why isn’t [PLAYER] is a cunt trending on Twitter yet?,[USER] [PLAYER] Haha you are a patron for the animal kingdom,other
1432307849196093444,"Wake up [PLAYER] , deadarse I want you gone by tomorrow I cant do this anymore",[USER] [PLAYER] That comp is NUTS,disagrees_with_the_post
1432307849196093444,[USER] [USER] [USER] [BODY] [PLAYER] PRICK.Nuff said,[USER] [USER] [USER] [BODY] [PLAYER] Nuff said.,disagrees_with_the_post
1496448928300113922,"[BODY] [PLAYER] Popes a pedo, tell a friend to tell a friend",[USER] [BODY] [PLAYER] Dick head,disagrees_with_the_post
1482769039885848588,Let's not forget [CLUB] and their animal abuser [PLAYER] who is playing today. He is scum.,[USER] [CLUB] [PLAYER] G’wan the toon,agrees_with_the_post
1482769039885848588,Dear [PLAYER] pls give up the captain armband and quit playing for [CLUB] Please we beg you in God's name. Because you're the most useless human being I've witnessed play football 🥺🥺😔,[USER] [PLAYER] [CLUB] fb,disagrees_with_the_post
1482769039885848588,[PLAYER] fuck off,[USER] [PLAYER] Complete moron 🤦🏻‍♂️🤦🏻‍♂️,agrees_with_the_post
1482769039885848588,"[PLAYER] Go fuck ursel bud, regret ever saying u were a baller to my pals when u first joined united. Ur shit",[USER] [PLAYER] got u on strings,other
1482769039885848588,[USER] [PLAYER] [PLAYER] Sick guy. Uneducated,[USER] [PLAYER] [PLAYER] Even you should realise that you privileged prick.,agrees_with_the_post
1463163570087239690,[PLAYER] leave the club u twat,[USER] [PLAYER] Havertz avi,disagrees_with_the_post
1480164383321993221,I hope that aye piss [PLAYER] #England [URL],[USER] [PLAYER] Covid riddled & piddled,disagrees_with_the_post
1441868494560276481,hold dat [PLAYER] you lizard [URL],[USER] [PLAYER] lucky assist had stinker in my books,other
1441868494560276481,[PLAYER] Didnt smash you on the head you prick. Cry,[USER] [PLAYER] Empty bottle of lucozade you wet wipe,agrees_with_the_post
1434897700948959246,See yourself [PLAYER] F R A U D,"[USER] [PLAYER] 😂😂😂😂, you come hate am pass me",other
1439544337419968513,I seriously can’t wait till the day [PLAYER] fucks of my club,20m take it or leave it [USER] [CLUB],other
1455674780879839234,[PLAYER] fuck off,[USER] [PLAYER] 80 million I’m laughing,other
1487865119723991049,Get the fuck out of our club ....u think we r bums? FUCK OFF [PLAYER],[USER] [PLAYER] I know you love cr7,disagrees_with_the_post
1431206335329210369,FUCK OFF you big time Charlie’s. We couldn’t even sell none of you if we wanted too. [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER],"[USER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] [PLAYER] Banter aside, the mentality at Utd is fucking disgusting. I spoke to a city scout yesterday and he told me players in today’s game don’t like being shouted at and told what to do. Said it’s getting really bad across the game. It shows as well.",disagrees_with_the_post
1441756494370783232,fuck you x100 [PLAYER],[USER] [PLAYER] bodied,disagrees_with_the_post
1478840641090162693,Sorry from the behalf of other useless idiots except [PLAYER] and [PLAYER],[USER] [PLAYER] [PLAYER] Can't defend him anymore 😡,agrees_with_the_post
1497584584669773827,COME GET YOUR SHIT [PLAYER] [URL],[USER] [PLAYER] I need a wan bissaka trophy pic,other
1497584584669773827,Prick [PLAYER],[USER] [PLAYER] Cry 😢,agrees_with_the_post
1446795378481901569,[PLAYER] [PLAYER] [PLAYER] [USER] looks who asshole must be feeling better now 💩,[USER] [PLAYER] [PLAYER] [PLAYER] 🤣🤣🤣🤣 The notification for that tweet looked very dodgy on my phone,agrees_with_the_post
1475568851991552008,Wow. Absolute FILTH from [PLAYER]. FILTH.,[USER] [PLAYER] What are the fans who were slagging him off going to say now! Take a bow son!!,disagrees_with_the_post
1475568851991552008,[PLAYER] Where's your WC Qualification 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 Where's Your WC Qualification 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 Where's Your WC Qualification😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 [URL],[USER] [PLAYER] Job??,other
1475568851991552008,"Loving bitterness at the moment, it's bueatiful and soothing my soul; Karen Brady - off you fuck Daniel levy - off you fuck Kronke - off you fuck Jason Cundy - off you fuck Simon Jordan - off you fuck [PLAYER], Hallow son..... Fancy a Newcy Broon! #NUFC #NUFCTakeover #nufc",[USER] [PLAYER] That’s not how you spell beautiful,disagrees_with_the_post
1480845595065688065,[PLAYER] [USER] I hate this team so much,[USER] [PLAYER] [USER] Lol cry more g,disagrees_with_the_post
1488613452931338241,Get this fraud [PLAYER] out of [CLUB] [URL],[USER] [PLAYER] [CLUB] Na don't disrespect man but he should go,disagrees_with_the_post
1488613452931338241,[USER] [USER] [USER] [CLUB] [USER] [PLAYER] Go crying away from my account because ur fucking stupid didn’t get anything,"[USER] [USER] [USER] [CLUB] [USER] [PLAYER] Stop posting gay porn retard. You'll be beheaded by Mr oil sheik down there. And ,please work on your English ,it's awful. More school ,less gay porn will sort that out. Bye bye",disagrees_with_the_post
